NbEntrp,FraisPersonnel,Salaries_tps_plein,CA_exportation,CA_hors_taxe,EBE,VA_et_autres_prdts_charges,ResultatNetComptable,CapaciteAutofinancement,ResultatCourantAvantImpots,InvestCorporelsBrutsHorsApports,annee,SecteurDActivite
5141.0,81.4,1849.0,81.3,586.7,28.9,113.0,21.0,23.0,17.6,100.2,2015,A 
2083.0,937.9000000000001,13474.0,570.3000000000001,4519.3,451.7,1544.5,526.5,1605.2,661.9000000000001,417.70000000000005,2015,B 
211949.0,67725.5,1346596.0,74211.8,320593.4,18760.2,91080.9,8955.9,15057.2,12407.800000000001,11943.9,2015,C 
27041.0,523.9,7358.0,1478.9,17065.0,3672.2000000000003,4407.1,285.9,1859.3,858.0,4770.1,2015,D 
12207.0,3370.6000000000004,68910.0,1720.3,18974.0,1816.2,5597.8,603.4,1620.8,739.8,2538.0,2015,E 
493874.0,51329.9,980397.0,3074.3,207322.5,11604.5,65017.3,7630.700000000001,10176.7,9052.1,5519.6,2015,F 
716441.0,85559.4,1680911.0,98153.0,890130.8,26996.9,123089.20000000001,15101.9,21623.0,21225.2,11159.8,2015,G 
105960.0,20038.3,428995.0,10249.5,78803.70000000001,5551.9,26238.199999999997,2628.2,5190.5,3304.8,6168.4,2015,H 
264684.0,23371.7,618170.0,576.0,71047.3,4331.0,29079.2,2531.0,3581.7,286.0999999999999,2219.2,2015,I 
128735.0,23088.8,300323.0,10831.400000000001,73459.2,8560.2,32102.5,1901.9,7958.1,3293.7,2465.2,2015,J 
141072.0,17518.4,166084.0,4644.1,50432.9,4436.1,23503.4,63491.5,78272.7,58881.6,4729.599999999999,2015,K 
244254.0,8722.900000000001,145247.0,634.0999999999999,62549.5,21429.6,34522.3,11853.5,17727.9,9317.9,27399.6,2015,L 
463104.0,55037.6,697671.0,21002.199999999997,155225.3,17681.9,73509.6,30660.9,40371.8,31106.0,5244.6,2015,M 
195202.0,31198.9,507690.0,11790.4,99642.6,11899.8,44160.1,4168.4,11684.9,12216.099999999999,14901.2,2015,N 
135464.0,4712.4,90251.0,472.20000000000005,12245.8,1171.5,5976.9,558.1999999999999,1023.9000000000001,831.5999999999999,503.5,2015,P 
454924.0,25350.6,358129.0,140.5,77534.9,27299.5,55313.8,25427.5,26607.4,25941.7,1336.2,2015,Q 
211230.0,5028.9,82639.0,634.9,15657.699999999999,1740.9,6692.4,850.9,1582.1,744.9000000000001,1518.9,2015,R 
218603.0,6946.4,184730.0,408.7,18317.3,1824.0,8997.5,1161.3,1659.6999999999998,1300.3,902.1999999999999,2015,S 
5032.0,165.2,3336.0,116.6,970.4,74.4,246.5,55.4,74.8,29.0,98.2,2016,A 
1667.0,973.6,12663.0,843.0999999999999,4731.7,68.69999999999999,1184.1999999999998,48.7,-187.20000000000005,-615.0,520.6,2016,B 
214690.0,67983.2,1332518.0,76082.2,322746.3,20040.0,92597.9,9876.6,16150.3,13316.8,12669.099999999999,2016,C 
29670.0,561.4000000000001,6975.0,1690.4,19022.9,4349.1,5191.799999999999,472.7,2918.8,955.2,5067.1,2016,D 
13447.0,3544.0,73287.0,1566.3999999999999,19037.6,2036.0,5957.299999999999,696.5,1754.0,718.6,2828.2,2016,E 
506865.0,51975.7,989096.0,2736.5,209813.40000000002,11624.800000000001,65639.6,8677.7,11046.4,10398.4,6303.0,2016,F 
759171.0,87837.9,1697489.0,100875.3,883131.0,29289.8,128042.9,18680.1,23871.9,24638.6,12614.1,2016,G 
115294.0,21285.6,442447.0,10877.1,82073.1,5529.9,27401.199999999997,3010.5,4275.2,3360.7,5089.4,2016,H 
