annee,NbEntrp,Activite,SecteurDActivite,FraisPersonnel,Salaries_tps_plein,CA_exportation,CA_hors_taxe,EBE,VA_et_autres_prdts_charges,ResultatNetComptable,CapaciteAutofinancement,ResultatCourantAvantImpots,InvestCorporelsBrutsHorsApports
2016,133824.0,Information et communication ,J ,56264.6,718635.0,28767.2,184960.6,26359.2,86450.5,7160.1,22912.5,10208.5,11106.6
2016,149989.0,Activités auxiliaires de services financiers et d'assurance ,K ,21637.7,200613.0,7517.2,64316.9,4823.0,28475.4,67317.1,67986.8,60448.4,4981.2
2016,275371.0,Activités immobilières ,L ,13277.7,204606.0,960.0,86400.3,29009.0,48990.7,19806.6,27489.6,15103.2,41838.9
2016,481899.0,"Activités spécialisées, scientifiques et techniques ",M ,77574.7,933427.0,39112.8,208490.6,18151.3,97436.4,61131.3,54680.0,49435.0,7137.1
2016,212980.0,Activités de services administratifs et de soutien ,N ,62448.4,951604.0,12102.1,149058.6,14766.7,79939.1,5283.6,15948.4,6765.7,19256.8
2016,142731.0,Enseignement ,P ,5783.5,109427.0,597.2,14065.3,1226.2,6849.4,-652.1,92.3,-392.2,1063.7
2016,473805.0,Santé humaine et action sociale ,Q ,31058.0,508816.0,182.4,89976.2,28619.6,62722.7,26319.5,27833.6,27054.4,2244.3
2016,218865.0,"Arts, spectacles et activités récréatives ",R ,6943.6,111488.0,1234.1,37034.4,3297.6,11337.1,-232.4,2785.7,332.1,2791.0
2016,225405.0,Autres activités de services ,S ,7963.6,205537.0,661.3,22262.5,2317.4,10582.6,1311.1,2056.5,1471.4,1458.4
2017,4690.0,Exploitation forestière ,A ,263.1,5303.0,221.0,1684.6,107.7,381.7,59.9,102.9,42.5,126.6
2017,1274.0,Industries extractives ,B ,964.5,11897.0,977.1,4613.8,186.6,1281.8,429.2,-107.2,525.1,534.8
2017,201261.0,Industrie manufacturière ,C ,175673.5,2737417.0,432788.1,1022956.6,64726.1,257467.0,68377.7,76626.9,73446.3,35406.2
2017,26004.0,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné ",D ,17318.5,210808.0,26878.0,126594.8,16239.2,32170.1,5154.6,18727.7,6366.7,19938.2
2017,11208.0,"Production et distribution d'eau - assainissement, gestion des déchets et dépollution ",E ,8976.0,170960.0,4192.7,40297.0,3296.8,13236.7,1043.4,3044.0,1120.0,4801.2
2017,471300.0,Construction ,F ,74755.3,1325788.0,11421.2,295139.2,17490.6,95807.8,13779.3,17077.4,28679.4,10137.3
2017,685853.0,Commerce - réparation d'automobiles et de motocycles ,G ,134761.7,2627875.0,125157.0,1315218.5,44397.6,206273.7,28642.9,41626.3,35186.5,23397.4
2017,113403.0,Transports et entreposage ,H ,65280.9,1212528.0,44645.9,214834.7,21562.3,90475.9,10287.0,17105.0,9639.5,24627.1
2017,256539.0,Hébergement et restauration ,I ,32696.2,871510.0,2214.9,99627.5,9294.0,43796.7,2981.6,8094.6,3326.4,8082.0
2017,126843.0,Information et communication ,J ,60673.0,758142.0,25740.8,195802.7,30537.7,95409.1,14003.3,28191.5,17554.3,14300.1
2017,96400.0,Activités auxiliaires de services financiers et d'assurance ,K ,12822.8,135748.0,5342.0,43185.6,5985.5,20212.9,19645.1,25599.9,17642.0,3906.2
2017,235220.0,Activités immobilières ,L ,12247.0,201100.0,705.2,77607.4,24539.9,42422.8,13421.3,20931.5,9134.9,37559.8
2017,461866.0,"Activités spécialisées, scientifiques et techniques ",M ,69855.8,863629.0,28985.6,180358.1,17778.2,90454.7,25574.0,37809.8,25426.0,5912.8
2017,191875.0,Activités de services administratifs et de soutien ,N ,65026.7,921564.0,12419.7,149373.5,14973.1,82708.7,7544.4,15430.1,8407.7,18857.7
2017,134444.0,Enseignement ,P ,5738.2,107366.0,512.7,14452.2,1592.8,7230.0,786.1,1344.4,977.0,1166.8
2017,478423.0,Santé humaine et action sociale ,Q ,32578.1,536151.0,243.9,93560.7,29485.8,65218.7,27723.1,28704.8,27588.2,2640.3
2017,143518.0,"Arts, spectacles et activités récréatives ",R ,7029.0,119164.0,974.3,38662.6,3070.4,11298.2,1840.2,2793.0,1839.3,2152.9
2017,214299.0,Autres activités de services ,S ,8879.4,219153.0,1123.9,25948.8,2771.1,11980.2,1534.1,2510.3,1748.3,1848.5
2018,4205.0,Exploitation forestière ,A ,249.2,4915.0,230.0,1583.0,111.6,370.2,67.9,107.5,47.1,126.1
2018,1116.0,Industries extractives ,B ,935.8,11208.0,974.3,4579.3,214.7,1286.6,391.8,-49.2,-187.6,406.5
2018,203008.0,Industrie manufacturière ,C ,180352.0,2728508.0,452004.6,1049937.6,60695.9,258777.3,52959.8,75366.7,62280.1,37861.3
2018,26957.0,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné ",D ,15797.7,179095.0,35099.5,116509.3,18484.6,33472.1,4322.2,20845.5,4318.7,19354.4
2018,11566.0,"Production et distribution d'eau - assainissement, gestion des déchets et dépollution ",E ,9810.5,179596.0,4242.8,43462.6,3535.7,14377.1,2229.8,4327.9,2254.0,5666.7
2018,472390.0,Construction ,F ,77734.4,1355479.0,7307.5,305431.6,19401.4,100998.5,13845.9,18204.5,16451.7,10059.8
2018,680929.0,Commerce - réparation d'automobiles et de motocycles ,G ,140297.9,2639937.0,136925.5,1354598.0,46165.4,215352.3,26701.4,51080.3,44741.8,23510.1
2018,134457.0,Transports et entreposage ,H ,65539.2,1202958.0,44063.8,216824.9,19160.5,88496.8,7528.8,15297.5,8040.1,24780.0
2018,258278.0,Hébergement et restauration ,I ,34371.1,842788.0,2086.2,104859.2,8775.3,45175.4,4521.7,8475.2,3868.2,8344.7
2018,134700.0,Information et communication ,J ,62175.1,758065.0,31021.5,203851.1,29552.2,95794.2,8978.0,27413.3,10993.6,13722.5
2018,101736.0,Activités auxiliaires de services financiers et d'assurance ,K ,14683.1,148460.0,6427.1,53527.9,6888.0,23265.5,29897.8,38948.0,31635.4,6589.0
2018,213534.0,Activités immobilières ,L ,13766.4,218697.0,1316.8,85161.5,24011.0,43776.9,14369.8,23189.5,9248.8,40286.2
2018,489116.0,"Activités spécialisées, scientifiques et techniques ",M ,70989.5,851225.0,28418.6,183441.4,20103.0,94113.1,28370.5,36954.7,27355.5,7482.4
2018,201304.0,Activités de services administratifs et de soutien ,N ,69127.9,951395.0,13056.7,154125.7,13080.4,85075.5,5709.5,14348.2,6695.9,17404.5
2018,141562.0,Enseignement ,P ,5727.4,105493.0,628.4,15222.3,1627.7,7258.0,864.4,1551.7,845.2,970.6
