id,organization_name,staff,reporting_year,total_scope_1,total_scope_2,total_scope_3,action_plan,assessment_id,legal_unit_id,evolution_scope_1
2230.0,hopital joseph ducuing,660.0,2017.0,1298.0,64.0,2770.0,Oui,2230.0,776938599,
4940.0,caisse regionale du credit agricole toulouse 31,1376.0,2018.0,431.0,219.0,9689.0,Oui,4940.0,776916207,-1007.6859999999999
3621.0,cpam haute-savoie,533.0,2018.0,253.455,170.619,1524.584,Oui,3621.0,776531568,-32.640000000000015
4623.0,s.a groupe bigard,3745.0,2018.0,34408.0,8130.0,0.0,Oui,4623.0,776221467,
3763.0,credit agricole sud mediterranee,850.0,2018.0,377.641,208.33,421.03,Oui,3763.0,776179335,
6505.0,cooperative agricole,1137.0,2019.0,7807.0,1076.0,0.0,Oui,6505.0,775784689,202.0
2727.0,mutuelles de france reseau sante,950.0,2016.0,546.0,165.0,0.0,Oui,2727.0,775761844,
1266.0,societe dexploitation des eaux et thermes denghien,542.0,2015.0,947.0,636.0,0.0,Oui,1266.0,775742919,
4635.0,m.a.j.,7302.0,2018.0,78868.0,2400.0,0.0,Oui,4635.0,775733835,
3258.0,caisse regionale de credit agricole mutuel de champagne bourgogne,1682.0,2017.0,1735.61,779.63,16208.68,Oui,3258.0,775718216,
4166.0,carsat centre ouest,709.0,2018.0,205.435,312.217,2218.978,Oui,4166.0,775716772,117.435
2437.0,mutualite francaise limousine,1000.0,2015.0,785.1,154.0,227.0,Oui,2437.0,775716673,
1473.0,ocealia,643.0,2017.0,17698.0,2212.0,0.0,Oui,1473.0,775715592,
2018.0,cavac,1350.0,2015.0,17150.0,993.0,4261.0,Oui,2018.0,775714991,
4267.0,cpam du var,806.0,2019.0,261.094,171.955,2441.901,Oui,4267.0,775713662,21.919999999999987
5697.0,umt terres d'oc,843.0,2019.0,517.26,95.57,0.0,Oui,5697.0,775711674,-36.74000000000001
5390.0,maif,7500.0,2019.0,1133.60985230692,1142.7965960021,1211861.58198794,Oui,5390.0,775709702,-855.0401476930801
4683.0,carsat normandie,949.0,2019.0,445.0,149.0,3243.0,Oui,4683.0,775701758,
4597.0,matmut,5218.0,2018.0,3155.0,551.4,696.0,Oui,4597.0,775701477,
5648.0,safran electronics & defense cockpit solutions,659.0,2019.0,89.0,128.0,51.0,Oui,5648.0,775694995,
4465.0,caisse regionale d'assurance maladie d'ile de france,1717.0,2018.0,162.21,1275.026,0.0,Oui,4465.0,775694730,
196.0,bureau veritas,6316.0,2014.0,16054.0,370.0,0.0,Non,196.0,775690621,0.0
4458.0,suez recyclage & valorisation france (siege social),578.0,2018.0,0.01,0.01,670.0,Oui,4458.0,775690035,
5945.0,mgen l2,4796.0,2019.0,1154.9,843.0,0.0,Oui,5945.0,775685399,
1964.0,la mutuelle generale,1926.0,2015.0,608.0345,734.0,203.0,Oui,1964.0,775685340,
4644.0,caisse autonome de la securite sociale dans les mines,5567.0,2018.0,6055.0,949.0,0.0,Oui,4644.0,775685316,
6479.0,fondation hopital saint-joseph,2442.0,2019.0,238.0,3040.0,0.0,Oui,6479.0,775682990,
1256.0,fondation de rothschild,1060.0,2015.0,814.0,1854.0,335.0,Oui,1256.0,775681091,
428.0,delphi connection systems france sas,486.0,2014.0,525.0,724.0,0.0,Non,428.0,775678980,
5764.0,mutuelle nationale territoriale (mnt),1099.0,2019.0,460.24,159.2,0.0,Oui,5764.0,775678584,
5320.0,sacem,1391.0,2018.0,464.0,210.0,123.0,Oui,5320.0,775675739,325.0
3989.0,gsf sas,35100.0,2018.0,9119.41,312.78,0.0,Oui,3989.0,775675291,
2125.0,fondation leopold bellan,2500.0,2014.0,3026.1,655.0,0.0,Oui,2125.0,775672165,
7330.0,hsbc,7346.0,2020.0,2376.0,742.0,1194.0,Oui,7330.0,775670284,-1195.0
436.0,borgwarner transmission systems tulle sas,454.0,2016.0,104.0,1030.0,310.0,Oui,436.0,775667637,
6403.0,agmf prevoyance,26.0,2019.0,74.0,39.0,0.0,Oui,6403.0,775666340,
4204.0,macsf assurances,1476.0,2019.0,5.0,176.0,34942.0,Oui,4204.0,775665631,
5458.0,credit agricole ile-de-france,3921.0,2017.0,838.0,1433.0,35997.0,Oui,5458.0,775665615,
648.0,informatique cdc,750.0,2014.0,231.0,179.0,8668.0,Oui,648.0,775665433,
3819.0,bouygues energies & services,4788.0,2018.0,40079.50999999999,6758.35,172486.14,Oui,3819.0,775664873,
614.0,fnac,8450.0,2015.0,,,,Oui,614.0,775661390,
